,,capex,,,,2015,400,,EUR,,,,,"DECHEMA, 2017",Table 35
,,fopex_tot,,,,,60,,EUR,,,,,"DECHEMA, 2017",Table 35
,,energy_dem,elec,,,,0.6,,GJ,,,,,"DECHEMA, 2017",Section 4.4.1
,,energy_dem,ng,,,,12.5,,GJ,,,,,"DECHEMA, 2017",Section 4.4.1
