flow_id,attribute,value,source,comment
oxygen,density_std,1.4290 kg/m³,Lemmon2023,
oxygen,c-ratio,0.00%,,
oxygen,h-ratio,0.00%,,
oxygen,o-ratio,100.00%,,
nitrogen,name,Nitrogen,,
nitrogen,default_unit,t,,
nitrogen,density_norm,1.1648 kg/m³,Lemmon2023,
nitrogen,density_std,1.2505 kg/m³,Lemmon2023,
nitrogen,c-ratio,0.00%,,
nitrogen,h-ratio,0.00%,,
nitrogen,o-ratio,0.00%,,
graph_electr,name,Graphite electrodes,,
graph_electr,default_unit,t,,
graph_electr,c-ratio,,Wang2023,
graph_electr,h-ratio,,,
graph_electr,o-ratio,,,
steam,name,Steam,,
steam,default_unit,MWh,,
steam,c-ratio,,Wang2023,
steam,h-ratio,,,
steam,o-ratio,,,
ft_fuel,name,Fischer-Tropsch diesel,,
ft_fuel,default_unit,MWh;LHV,,
ft_fuel,energycontent_LHV,40991.0507126284 Btu/kg,Wang2023,calculated from values Energy/volume and density given in the source
ft_fuel,energycontent_HHV,43099.1050712628 Btu/kg,Wang2023,calculated from values Energy/volume and density given in the source
ft_fuel,density_norm,3017 g/gal,Wang2023,"not explicitly given if NTP or STP, assumed that value does not change much in this temperature range"
ft_fuel,density_std,3017 g/gal,Wang2023,"not explicitly given if NTP or STP, assumed that value does not change much in this temperature range"
ft_fuel,c-ratio,85.30%,Wang2023,
ft_fuel,h-ratio,,,
ft_fuel,o-ratio,,,
gasoline,name,Gasoline,,
gasoline,default_unit,MWh;LHV,,
gasoline,energycontent_LHV,39566.5903267148 Btu/kg,Wang2023,calculated from values Energy/volume and density given in the source
gasoline,energycontent_HHV,42474.3384203907 Btu/kg,Wang2023,calculated from values Energy/volume and density given in the source
gasoline,density_norm,702.61 kg/m³,Lemmon2023,
gasoline,density_std,718.61  kg/m³,Lemmon2023,
gasoline,c-ratio,82.80%,Wang2023,
gasoline,h-ratio,,,
gasoline,o-ratio,,,
crude_oil,name,Crude oil,,
crude_oil,default_unit,MWh;LHV,,
crude_oil,energycontent_LHV,40458.6583463339 Btu/kg,Wang2023,calculated from values Energy/volume and density given in the source
crude_oil,energycontent_HHV,43166.9266770671 Btu/kg,Wang2023,calculated from values Energy/volume and density given in the source
crude_oil,density_norm,3205 g/gal,Wang2023,"not explicitly given if NTP or STP, assumed that value does not change much in this temperature range"
crude_oil,density_std,3205 g/gal,Wang2023,"not explicitly given if NTP or STP, assumed that value does not change much in this temperature range"
crude_oil,c-ratio,85.30%,Wang2023,
crude_oil,h-ratio,,,
crude_oil,o-ratio,,,
bitumen,name,Bitumen,,
bitumen,default_unit,MWh;LHV,,
bitumen,energycontent_LHV,39683.207193278 Btu/kg,Wang2023,calculated from values Energy/volume and density given in the source
bitumen,energycontent_HHV,42441.9328270353 Btu/kg,Wang2023,calculated from values Energy/volume and density given in the source
bitumen,density_norm,3830.682125 g/gal,Wang2023,"not explicitly given if NTP or STP, assumed that value does not change much in this temperature range"
bitumen,density_std,3830.682125 g/gal,Wang2023,"not explicitly given if NTP or STP, assumed that value does not change much in this temperature range"
bitumen,c-ratio,83.00%,Wang2023,
bitumen,h-ratio,,,
bitumen,o-ratio,,,
diesel,name,diesel,,
diesel,default_unit,MWh;LHV,,
diesel,energycontent_LHV,40558.8885380486 Btu/kg,Wang2023,calculated from values Energy/volume and density given in the source
diesel,energycontent_HHV,43378.5917271866 Btu/kg,Wang2023,calculated from values Energy/volume and density given in the source
diesel,density_norm,3167 g/gal,Wang2023,"not explicitly given if NTP or STP, assumed that value does not change much in this temperature range"
diesel,density_std,3167 g/gal,Wang2023,"not explicitly given if NTP or STP, assumed that value does not change much in this temperature range"
diesel,c-ratio,86.50%,Wang2023,
diesel,h-ratio,,,
diesel,o-ratio,,,
residual_oil,name,residual oil,,
residual_oil,default_unit,MWh;LHV,,
residual_oil,energycontent_LHV,37407.3886463736 Btu/kg,Wang2023,calculated from values Energy/volume and density given in the source
residual_oil,energycontent_HHV,40007.9957356077 Btu/kg,Wang2023,calculated from values Energy/volume and density given in the source
residual_oil,density_norm,3752 g/gal,Wang2023,"not explicitly given if NTP or STP, assumed that value does not change much in this temperature range"
residual_oil,density_std,3752 g/gal,Wang2023,"not explicitly given if NTP or STP, assumed that value does not change much in this temperature range"
residual_oil,c-ratio,86.80%,Wang2023,
residual_oil,h-ratio,,,
residual_oil,o-ratio,,,
bunker_fuel,name,Bunker fuel for ocean tanker,,
bunker_fuel,default_unit,MWh;LHV,,
bunker_fuel,energycontent_LHV,37407.3886463736 Btu/kg,Wang2023,calculated from values Energy/volume and density given in the source
bunker_fuel,energycontent_HHV,40007.9957356077 Btu/kg,Wang2023,calculated from values Energy/volume and density given in the source
bunker_fuel,density_norm,3752 g/gal,Wang2023,"not explicitly given if NTP or STP, assumed that value does not change much in this temperature range"
bunker_fuel,density_std,3752 g/gal,Wang2023,"not explicitly given if NTP or STP, assumed that value does not change much in this temperature range"
bunker_fuel,c-ratio,86.80%,Wang2023,
bunker_fuel,h-ratio,,,
bunker_fuel,o-ratio,,,
lpg,name,Liquefied petroleum gas,,
lpg,default_unit,MWh;LHV,,
lpg,energycontent_LHV,44175.7670306812 Btu/kg,Wang2023,calculated from values Energy/volume and density given in the source
lpg,energycontent_HHV,47535.1014040562 Btu/kg,Wang2023,calculated from values Energy/volume and density given in the source
lpg,c-ratio,82.00%,Wang2023,
lpg,h-ratio,,,
lpg,o-ratio,,,
lng,name,Liquefied natural gas,,
lng,default_unit,MWh;LHV,,
lng,energycontent_LHV,46095.0030845157 Btu/kg,Wang2023,calculated from values Energy/volume and density given in the source
lng,energycontent_HHV,52325.7248611968 Btu/kg,Wang2023,calculated from values Energy/volume and density given in the source
lng,c-ratio,75.00%,Wang2023,
lng,h-ratio,,,
lng,o-ratio,,,
dme,name,Dimethyl ether,,
dme,default_unit,MWh;LHV,,
dme,energycontent_LHV,27374.9007148531 Btu/kg,Wang2023,calculated from values Energy/volume and density given in the source
dme,energycontent_HHV,30027.7998411438 Btu/kg,Wang2023,calculated from values Energy/volume and density given in the source
dme,density_std,2.1146 kg/m³,Molarne1991,
dme,c-ratio,53.30%,Wang2023,
dme,h-ratio,,,
dme,o-ratio,,,
butane,name,Butane,,
butane,default_unit,MWh;LHV,,
butane,energycontent_LHV,42914.5955716222 Btu/kg,Wang2023,calculated from values Energy/volume and density given in the source
butane,energycontent_HHV,46642.5666516042 Btu/kg,Wang2023,calculated from values Energy/volume and density given in the source
butane,density_norm,2.4958 kg/m^3,Lemmon2023,
butane,density_std,2.7027 kg/m^3,Lemmon2023,
butane,c-ratio,82.80%,Wang2023,
butane,h-ratio,17.20%,,
butane,o-ratio,0.00%,,
isobutane,name,Isobutane,,
isobutane,default_unit,MWh;LHV,,
isobutane,energycontent_LHV,42521.2464589235 Btu/kg,Wang2023,calculated from values Energy/volume and density given in the source
isobutane,energycontent_HHV,46534.4664778093 Btu/kg,Wang2023,calculated from values Energy/volume and density given in the source
isobutane,density_norm,2.4858 kg/m^3,Lemmon2023,
isobutane,density_std,2.6887 kg/m^3,Lemmon2023,
isobutane,c-ratio,82.80%,Wang2023,
isobutane,h-ratio,17.20%,,
isobutane,o-ratio,0.00%,,
isobutylene,name,Isobutylene,,
isobutylene,default_unit,MWh;LHV,,
isobutylene,energycontent_LHV,42485.57478917 Btu/kg,Wang2023,calculated from values Energy/volume and density given in the source
isobutylene,energycontent_HHV,45721.2605415002 Btu/kg,Wang2023,calculated from values Energy/volume and density given in the source
isobutylene,density_std,2.599 kg/m^3,Franz2009,
isobutylene,c-ratio,85.70%,Wang2023,
isobutylene,h-ratio,14.30%,,
isobutylene,o-ratio,0.00%,,
propane,name,Propane,,
propane,default_unit,MWh;LHV,,
propane,energycontent_LHV,43880.2083333333 Btu/kg,Wang2023,calculated from values Energy/volume and density given in the source
propane,energycontent_HHV,47614.5833333333 Btu/kg,Wang2023,calculated from values Energy/volume and density given in the source
propane,density_norm,1.8650 kg/m^3,Lemmon2023,
propane,density_std,2.0105 kg/m^3,Lemmon2023,
propane,c-ratio,81.80%,Wang2023,
propane,h-ratio,18.20%,,
propane,o-ratio,0.00%,,
coal_el,name,Coal mix for Electricity Generation,,
coal_el,default_unit,MWh;LHV,,
coal_el,energycontent_LHV,19474168 Btu/short_ton,Wang2023,
coal_el,energycontent_HHV,20673610 Btu/short_ton,Wang2023,
coal_el,c-ratio,58.60%,Wang2023,
coal_el,h-ratio,,,
coal_el,o-ratio,,,
coal_li,name,Lignite Coal,,
coal_li,default_unit,MWh;LHV,,
coal_li,energycontent_LHV,10805183 Btu/short_ton,Wang2023,
coal_li,energycontent_HHV,12992302 Btu/short_ton,Wang2023,
coal_li,c-ratio,49.10%,Wang2023,
coal_li,h-ratio,,,
coal_li,o-ratio,,,
switchgrass,name,Switchgrass,,
switchgrass,default_unit,MWh;LHV,,
switchgrass,energycontent_LHV,14447000 Btu/short_ton,Wang2023,
switchgrass,energycontent_HHV,15583000 Btu/short_ton,Wang2023,
switchgrass,c-ratio,46.60%,Wang2023,
switchgrass,h-ratio,,,
switchgrass,o-ratio,,,
miscanthus,name,Miscanthus,,
miscanthus,default_unit,MWh;LHV,,
miscanthus,energycontent_LHV,15342000 Btu/short_ton,Wang2023,
