subtech,size,variable,reference_variable,period,value,uncertainty,unit,reference_value,reference_unit,comment,source,source_detail
AEL,100 MW,OPEX Fixed,Input Capacity|Electricity,2020,6.0,,EUR_2020/a,1.0,kW,1.5% of CAPEX; reported in units of electric capacity,Vartiainen22,Page 4
AEL,100 MW,OPEX Fixed,Input Capacity|Electricity,2030,2.1,,EUR_2020/a,1.0,kW,10% LR decrease,Vartiainen22,Page 4
AEL,100 MW,OPEX Fixed,Input Capacity|Electricity,2040,0.73,,EUR_2020/a,1.0,kW,10% LR decrease,Vartiainen22,Page 4
AEL,100 MW,OPEX Fixed,Input Capacity|Electricity,2050,0.25,,EUR_2020/a,1.0,kW,10% LR decrease,Vartiainen22,Page 4
AEL,*,OPEX Fixed,Input Capacity|Electricity,2020,20.0,5.0,EUR_2020/a,1.0,kW,electrolyser annual maintenance costs,Holst21,"Section 3.4, Page 57"
PEM,*,OPEX Fixed,Input Capacity|Electricity,2020,15.0,5.0,EUR_2020/a,1.0,kW,electrolyser annual maintenance costs,Holst21,"Section 3.4, Page 57"
AEL,*,OPEX Fixed,Input Capacity|Electricity,2020,17.0,3.5,USD_2020/a,1.0,kW,,Yates20,"Table 3, Page 10"
AEL,1 MW,OPEX Fixed Relative,,*,5.0,,percent,,,,DEARF23,"Sheet 86 AEC 1MW, Row 27"
AEL,100 MW,OPEX Fixed Relative,,*,2.0,,percent,,,,DEARF23,"Sheet 86 AEC 100MW, Row 27"
PEM,1 MW,OPEX Fixed Relative,,*,7.0,,percent,,,,DEARF23,"Sheet 86 PEM 1MW, Row 27"
PEM,100 MW,OPEX Fixed Relative,,*,4.0,,percent,,,,DEARF23,"Sheet 86 PEM 100MW, Row 27"
SOEC,1 MW,OPEX Fixed Relative,,*,12.0,,percent,,,,DEARF23,"Sheet 86 SOEC 1MW, Row 26"
AEL,100 MW,Output|Hydrogen,Input|Electricity,2020,67.0,,pct kWh;LHV,100.0,pct kWh,1.5% of CAPEX; reported in units of electric capacity; 67% assumes the LHV,Vartiainen22,Page 4
AEL,100 MW,Output|Hydrogen,Input|Electricity,2030,70.0,,pct kWh;LHV,100.0,pct kWh,10% LR decrease,Vartiainen22,Page 4
AEL,100 MW,Output|Hydrogen,Input|Electricity,2040,73.0,,pct kWh;LHV,100.0,pct kWh,10% LR decrease,Vartiainen22,Page 4
AEL,100 MW,Output|Hydrogen,Input|Electricity,2050,76.0,,pct kWh;LHV,100.0,pct kWh,10% LR decrease,Vartiainen22,Page 4
AEL,*,Output|Hydrogen,Input|Electricity,2020,20.0,1.0,kg,1.0,MWh,,DEARF23,"Sheet 86 AEC 1MW, Row 17"
AEL,*,Output|Hydrogen,Input|Electricity,2030,20.4,,kg,1.0,MWh,,DEARF23,"Sheet 86 AEC 1MW, Row 17"
AEL,*,Output|Hydrogen,Input|Electricity,2040,21.5,,kg,1.0,MWh,,DEARF23,"Sheet 86 AEC 1MW, Row 17"
AEL,*,Output|Hydrogen,Input|Electricity,2050,22.5,1.5,kg,1.0,MWh,,DEARF23,"Sheet 86 AEC 1MW, Row 17"
PEM,*,Output|Hydrogen,Input|Electricity,2020,17.4,0.7,kg,1.0,MWh,,DEARF23,"Sheet 86 PEMEC 1MW, Row 17"
PEM,*,Output|Hydrogen,Input|Electricity,2030,19.7,,kg,1.0,MWh,,DEARF23,"Sheet 86 PEMEC 1MW, Row 17"
PEM,*,Output|Hydrogen,Input|Electricity,2040,20.4,,kg,1.0,MWh,,DEARF23,"Sheet 86 PEMEC 1MW, Row 17"
PEM,*,Output|Hydrogen,Input|Electricity,2050,21.2,0.4,kg,1.0,MWh,,DEARF23,"Sheet 86 PEMEC 1MW, Row 17"
SOEC,*,Output|Hydrogen,Input|Electricity,2020,23.3,1.0,kg,1.0,MWh,,DEARF23,"Sheet 86 SOEC 1MW, Row 16"
SOEC,*,Output|Hydrogen,Input|Electricity,2030,24.2,,kg,1.0,MWh,,DEARF23,"Sheet 86 SOEC 1MW, Row 16"
