variable,reference_variable,period,value,uncertainty,unit,reference_value,reference_unit,comment,source,source_detail
CAPEX,Output Capacity|Steel Hot-rolled Coil,,450.0,,MUSD,4,Mt/a,,IEA-GHG13,Tables 1 and 5
Input|Electricity,Output|Steel Hot-rolled Coil,,105.3,,kWh,1,t,,IEA-GHG13,Table D-15
Input|Heat,Output|Steel Hot-rolled Coil,,468.33,,kWh,1,t,Assuming 20MJ/Nm³ for caloric heating value of COG.,IEA-GHG13,Table D-15
Input|Electricity,Output|Steel Hot-rolled Coil,,0.3,,GJ,1,t,,Worell2007,Table 2.1.5
Input|Heat,Output|Steel Hot-rolled Coil,,1.3,,GJ,1,t,,Worell2007,Table 2.1.5
Input|Steel Slab,Output|Steel Hot-rolled Coil,,1052.6,,kg,1,t,,IEA-GHG13,Table D-15
