subtech,size,reported_variable,reference_variable,period,reported_value,reported_unc,reported_unit,reference_value,reference_unit,comment,source,source_detail
AEL,*,FOPEX,Input Capacity|elec,2020,20,5,EUR_2020/a,1,kW,electrolyser annual maintenance costs,Holst21,"Section 3.4, Page 57"
PEM,*,FOPEX,Input Capacity|elec,2020,15,5,EUR_2020/a,1,kW,electrolyser annual maintenance costs,Holst21,"Section 3.4, Page 57"
AEL,*,FOPEX,Input Capacity|elec,2020,17,3.5,USD_2020/a,1,kW,,Yates20,"Table 3, Page 10"
AEL,1 MW,FOPEX Relative,,*,5,,percent,,,,DEARF23,"Sheet 86 AEC 1MW, Row 27"
AEL,100 MW,FOPEX Relative,,*,2,,percent,,,,DEARF23,"Sheet 86 AEC 100MW, Row 27"
PEM,1 MW,FOPEX Relative,,*,7,,percent,,,,DEARF23,"Sheet 86 PEM 1MW, Row 27"
PEM,100 MW,FOPEX Relative,,*,4,,percent,,,,DEARF23,"Sheet 86 PEM 100MW, Row 27"
SOEC,1 MW,FOPEX Relative,,*,12,,percent,,,,DEARF23,"Sheet 86 SOEC 1MW, Row 26"
AEL,100 MW,Output|h2,Input|elec,2020,0.67,,kWh;LHV,1,kWh,1.5% of CAPEX; reported in units of electric capacity; 67% assumes the LHV,Vartiainen22,Page 4
AEL,100 MW,Output|h2,Input|elec,2030,0.7,,kWh;LHV,1,kWh,10% LR decrease,Vartiainen22,Page 4
AEL,100 MW,Output|h2,Input|elec,2040,0.73,,kWh;LHV,1,kWh,10% LR decrease,Vartiainen22,Page 4
AEL,100 MW,Output|h2,Input|elec,2050,0.76,,kWh;LHV,1,kWh,10% LR decrease,Vartiainen22,Page 4
AEL,*,Output|h2,Input|elec,2020,20,1,kg,1,MWh,,DEARF23,"Sheet 86 AEC 1MW, Row 17"
AEL,*,Output|h2,Input|elec,2030,20.4,,kg,1,MWh,,DEARF23,"Sheet 86 AEC 1MW, Row 17"
AEL,*,Output|h2,Input|elec,2040,21.5,,kg,1,MWh,,DEARF23,"Sheet 86 AEC 1MW, Row 17"
AEL,*,Output|h2,Input|elec,2050,22.5,1.5,kg,1,MWh,,DEARF23,"Sheet 86 AEC 1MW, Row 17"
PEM,*,Output|h2,Input|elec,2020,17.4,0.7,kg,1,MWh,,DEARF23,"Sheet 86 PEMEC 1MW, Row 17"
PEM,*,Output|h2,Input|elec,2030,19.7,,kg,1,MWh,,DEARF23,"Sheet 86 PEMEC 1MW, Row 17"
PEM,*,Output|h2,Input|elec,2040,20.4,,kg,1,MWh,,DEARF23,"Sheet 86 PEMEC 1MW, Row 17"
PEM,*,Output|h2,Input|elec,2050,21.2,0.4,kg,1,MWh,,DEARF23,"Sheet 86 PEMEC 1MW, Row 17"
SOEC,*,Output|h2,Input|elec,2020,23.3,1,kg,1,MWh,,DEARF23,"Sheet 86 SOEC 1MW, Row 16"
SOEC,*,Output|h2,Input|elec,2030,24.2,,kg,1,MWh,,DEARF23,"Sheet 86 SOEC 1MW, Row 16"
SOEC,*,Output|h2,Input|elec,2040,24.6,,kg,1,MWh,,DEARF23,"Sheet 86 SOEC 1MW, Row 16"
