from,to,ft,factor
kWh;LHV,MWh;LHV,elec,0.001000000
kWh;LHV,MWh;HHV,elec,0.001000000
kWh;LHV,kWh,elec,1.000000000
kWh;LHV,kWh;HHV,elec,1.000000000
kWh;LHV,MJ,elec,3.600000000
kWh;LHV,MJ;LHV,elec,3.600000000
kWh;LHV,MJ;HHV,elec,3.600000000
kWh;LHV,GWh,elec,0.000001000
kWh;LHV,GWh;LHV,elec,0.000001000
kWh;LHV,GWh;HHV,elec,0.000001000
kWh;HHV,GJ,elec,0.003600000
kWh;HHV,GJ;LHV,elec,0.003600000
kWh;HHV,GJ;HHV,elec,0.003600000
kWh;HHV,MWh,elec,0.001000000
kWh;HHV,MWh;LHV,elec,0.001000000
kWh;HHV,MWh;HHV,elec,0.001000000
kWh;HHV,kWh,elec,1.000000000
kWh;HHV,kWh;LHV,elec,1.000000000
kWh;HHV,MJ,elec,3.600000000
kWh;HHV,MJ;LHV,elec,3.600000000
kWh;HHV,MJ;HHV,elec,3.600000000
kWh;HHV,GWh,elec,0.000001000
kWh;HHV,GWh;LHV,elec,0.000001000
kWh;HHV,GWh;HHV,elec,0.000001000
MJ,GJ,elec,0.001000000
MJ,GJ;LHV,elec,0.001000000
MJ,GJ;HHV,elec,0.001000000
MJ,MWh,elec,0.000277778
MJ,MWh;LHV,elec,0.000277778
MJ,MWh;HHV,elec,0.000277778
MJ,kWh,elec,0.277777778
MJ,kWh;LHV,elec,0.277777778
MJ,kWh;HHV,elec,0.277777778
MJ,MJ;LHV,elec,1.000000000
MJ,MJ;HHV,elec,1.000000000
MJ,GWh,elec,0.000000278
MJ,GWh;LHV,elec,0.000000278
MJ,GWh;HHV,elec,0.000000278
MJ;LHV,GJ,elec,0.001000000
MJ;LHV,GJ;LHV,elec,0.001000000
MJ;LHV,GJ;HHV,elec,0.001000000
MJ;LHV,MWh,elec,0.000277778
MJ;LHV,MWh;LHV,elec,0.000277778
MJ;LHV,MWh;HHV,elec,0.000277778
MJ;LHV,kWh,elec,0.277777778
MJ;LHV,kWh;LHV,elec,0.277777778
MJ;LHV,kWh;HHV,elec,0.277777778
MJ;LHV,MJ,elec,1.000000000
MJ;LHV,MJ;HHV,elec,1.000000000
MJ;LHV,GWh,elec,0.000000278
MJ;LHV,GWh;LHV,elec,0.000000278
MJ;LHV,GWh;HHV,elec,0.000000278
MJ;HHV,GJ,elec,0.001000000
MJ;HHV,GJ;LHV,elec,0.001000000
MJ;HHV,GJ;HHV,elec,0.001000000
MJ;HHV,MWh,elec,0.000277778
MJ;HHV,MWh;LHV,elec,0.000277778
MJ;HHV,MWh;HHV,elec,0.000277778
MJ;HHV,kWh,elec,0.277777778
MJ;HHV,kWh;LHV,elec,0.277777778
MJ;HHV,kWh;HHV,elec,0.277777778
MJ;HHV,MJ,elec,1.000000000
MJ;HHV,MJ;LHV,elec,1.000000000
MJ;HHV,GWh,elec,0.000000278
MJ;HHV,GWh;LHV,elec,0.000000278
MJ;HHV,GWh;HHV,elec,0.000000278
GWh,GJ,elec,3600.000000000
GWh,GJ;LHV,elec,3600.000000000
GWh,GJ;HHV,elec,3600.000000000
GWh,MWh,elec,1000.000000000
GWh,MWh;LHV,elec,1000.000000000
GWh,MWh;HHV,elec,1000.000000000
GWh,kWh,elec,1000000.000000000
GWh,kWh;LHV,elec,1000000.000000000
GWh,kWh;HHV,elec,1000000.000000000
GWh,MJ,elec,3600000.000000000
GWh,MJ;LHV,elec,3600000.000000000
GWh,MJ;HHV,elec,3600000.000000000
GWh,GWh;LHV,elec,1.000000000
GWh,GWh;HHV,elec,1.000000000
GWh;LHV,GJ,elec,3600.000000000
GWh;LHV,GJ;LHV,elec,3600.000000000
GWh;LHV,GJ;HHV,elec,3600.000000000
GWh;LHV,MWh,elec,1000.000000000
GWh;LHV,MWh;LHV,elec,1000.000000000
GWh;LHV,MWh;HHV,elec,1000.000000000
GWh;LHV,kWh,elec,1000000.000000000
GWh;LHV,kWh;LHV,elec,1000000.000000000
GWh;LHV,kWh;HHV,elec,1000000.000000000
GWh;LHV,MJ,elec,3600000.000000000
GWh;LHV,MJ;LHV,elec,3600000.000000000
GWh;LHV,MJ;HHV,elec,3600000.000000000
GWh;LHV,GWh,elec,1.000000000
GWh;LHV,GWh;HHV,elec,1.000000000
GWh;HHV,GJ,elec,3600.000000000
GWh;HHV,GJ;LHV,elec,3600.000000000
GWh;HHV,GJ;HHV,elec,3600.000000000
GWh;HHV,MWh,elec,1000.000000000
GWh;HHV,MWh;LHV,elec,1000.000000000
GWh;HHV,MWh;HHV,elec,1000.000000000
GWh;HHV,kWh,elec,1000000.000000000
