from,to,ft,factor
MWh;HHV,GJ;HHV,h2,3.600000000
MWh;HHV,MWh,h2,1.000000000
MWh;HHV,MWh;LHV,h2,1.000000000
MWh;HHV,kWh,h2,1000.000000000
MWh;HHV,kWh;LHV,h2,1000.000000000
MWh;HHV,kWh;HHV,h2,1000.000000000
MWh;HHV,MJ,h2,3600.000000000
MWh;HHV,MJ;LHV,h2,3600.000000000
MWh;HHV,MJ;HHV,h2,3600.000000000
MWh;HHV,GWh,h2,0.001000000
MWh;HHV,GWh;LHV,h2,0.001000000
MWh;HHV,GWh;HHV,h2,0.001000000
MWh;HHV,m³,h2,282.249949830
MWh;HHV,m³;norm,h2,282.249949830
MWh;HHV,m³;standard,h2,282.249949830
kWh,t,h2,0.000030003
kWh,kg,h2,0.030003000
kWh,kilometric_ton,h2,0.000000030
kWh,GJ,h2,0.003600000
kWh,GJ;LHV,h2,0.003600000
kWh,GJ;HHV,h2,0.003600000
kWh,MWh,h2,0.001000000
kWh,MWh;LHV,h2,0.001000000
kWh,MWh;HHV,h2,0.001000000
kWh,kWh;LHV,h2,1.000000000
kWh,kWh;HHV,h2,1.000000000
kWh,MJ,h2,3.600000000
kWh,MJ;LHV,h2,3.600000000
kWh,MJ;HHV,h2,3.600000000
kWh,GWh,h2,0.000001000
kWh,GWh;LHV,h2,0.000001000
kWh,GWh;HHV,h2,0.000001000
kWh,m³,h2,0.333737489
kWh,m³;norm,h2,0.333737489
kWh,m³;standard,h2,0.333737489
kWh;LHV,t,h2,0.000030003
kWh;LHV,kg,h2,0.030003000
kWh;LHV,kilometric_ton,h2,0.000000030
kWh;LHV,GJ,h2,0.003600000
kWh;LHV,GJ;LHV,h2,0.003600000
kWh;LHV,GJ;HHV,h2,0.003600000
kWh;LHV,MWh,h2,0.001000000
kWh;LHV,MWh;LHV,h2,0.001000000
kWh;LHV,MWh;HHV,h2,0.001000000
kWh;LHV,kWh,h2,1.000000000
kWh;LHV,kWh;HHV,h2,1.000000000
kWh;LHV,MJ,h2,3.600000000
kWh;LHV,MJ;LHV,h2,3.600000000
kWh;LHV,MJ;HHV,h2,3.600000000
kWh;LHV,GWh,h2,0.000001000
kWh;LHV,GWh;LHV,h2,0.000001000
kWh;LHV,GWh;HHV,h2,0.000001000
kWh;LHV,m³,h2,0.333737489
kWh;LHV,m³;norm,h2,0.333737489
kWh;LHV,m³;standard,h2,0.333737489
kWh;HHV,t,h2,0.000025374
kWh;HHV,kg,h2,0.025374270
kWh;HHV,kilometric_ton,h2,0.000000025
kWh;HHV,GJ,h2,0.003600000
kWh;HHV,GJ;LHV,h2,0.003600000
kWh;HHV,GJ;HHV,h2,0.003600000
kWh;HHV,MWh,h2,0.001000000
kWh;HHV,MWh;LHV,h2,0.001000000
kWh;HHV,MWh;HHV,h2,0.001000000
kWh;HHV,kWh,h2,1.000000000
kWh;HHV,kWh;LHV,h2,1.000000000
kWh;HHV,MJ,h2,3.600000000
kWh;HHV,MJ;LHV,h2,3.600000000
kWh;HHV,MJ;HHV,h2,3.600000000
kWh;HHV,GWh,h2,0.000001000
kWh;HHV,GWh;LHV,h2,0.000001000
kWh;HHV,GWh;HHV,h2,0.000001000
kWh;HHV,m³,h2,0.282249950
kWh;HHV,m³;norm,h2,0.282249950
kWh;HHV,m³;standard,h2,0.282249950
MJ,t,h2,0.000008334
MJ,kg,h2,0.008334167
MJ,kilometric_ton,h2,0.000000008
MJ,GJ,h2,0.001000000
MJ,GJ;LHV,h2,0.001000000
MJ,GJ;HHV,h2,0.001000000
MJ,MWh,h2,0.000277778
MJ,MWh;LHV,h2,0.000277778
MJ,MWh;HHV,h2,0.000277778
MJ,kWh,h2,0.277777778
MJ,kWh;LHV,h2,0.277777778
MJ,kWh;HHV,h2,0.277777778
MJ,MJ;LHV,h2,1.000000000
MJ,MJ;HHV,h2,1.000000000
MJ,GWh,h2,0.000000278
MJ,GWh;LHV,h2,0.000000278
MJ,GWh;HHV,h2,0.000000278
MJ,m³,h2,0.092704858
MJ,m³;norm,h2,0.092704858
MJ,m³;standard,h2,0.092704858
MJ;LHV,t,h2,0.000008334
MJ;LHV,kg,h2,0.008334167
MJ;LHV,kilometric_ton,h2,0.000000008
MJ;LHV,GJ,h2,0.001000000
MJ;LHV,GJ;LHV,h2,0.001000000
MJ;LHV,GJ;HHV,h2,0.001000000
MJ;LHV,MWh,h2,0.000277778
MJ;LHV,MWh;LHV,h2,0.000277778
MJ;LHV,MWh;HHV,h2,0.000277778
MJ;LHV,kWh,h2,0.277777778
MJ;LHV,kWh;LHV,h2,0.277777778
MJ;LHV,kWh;HHV,h2,0.277777778
MJ;LHV,MJ,h2,1.000000000
MJ;LHV,MJ;HHV,h2,1.000000000
MJ;LHV,GWh,h2,0.000000278
MJ;LHV,GWh;LHV,h2,0.000000278
MJ;LHV,GWh;HHV,h2,0.000000278
MJ;LHV,m³,h2,0.092704858
MJ;LHV,m³;norm,h2,0.092704858
MJ;LHV,m³;standard,h2,0.092704858
MJ;HHV,t,h2,0.000007048
MJ;HHV,kg,h2,0.007048408
MJ;HHV,kilometric_ton,h2,0.000000007
MJ;HHV,GJ,h2,0.001000000
MJ;HHV,GJ;LHV,h2,0.001000000
MJ;HHV,GJ;HHV,h2,0.001000000
MJ;HHV,MWh,h2,0.000277778
MJ;HHV,MWh;LHV,h2,0.000277778
MJ;HHV,MWh;HHV,h2,0.000277778
MJ;HHV,kWh,h2,0.277777778
MJ;HHV,kWh;LHV,h2,0.277777778
MJ;HHV,kWh;HHV,h2,0.277777778
MJ;HHV,MJ,h2,1.000000000
MJ;HHV,MJ;LHV,h2,1.000000000
MJ;HHV,GWh,h2,0.000000278
MJ;HHV,GWh;LHV,h2,0.000000278
MJ;HHV,GWh;HHV,h2,0.000000278
MJ;HHV,m³,h2,0.078402764
MJ;HHV,m³;norm,h2,0.078402764
MJ;HHV,m³;standard,h2,0.078402764
GWh,t,h2,30.003000300
GWh,kg,h2,30003.000300030
GWh,kilometric_ton,h2,0.030003000
GWh,GJ,h2,3600.000000000
GWh,GJ;LHV,h2,3600.000000000
GWh,GJ;HHV,h2,3600.000000000
GWh,MWh,h2,1000.000000000
GWh,MWh;LHV,h2,1000.000000000
GWh,MWh;HHV,h2,1000.000000000
GWh,kWh,h2,1000000.000000000
GWh,kWh;LHV,h2,1000000.000000000
GWh,kWh;HHV,h2,1000000.000000000
GWh,MJ,h2,3600000.000000000
GWh,MJ;LHV,h2,3600000.000000000
GWh,MJ;HHV,h2,3600000.000000000
GWh,GWh;LHV,h2,1.000000000
GWh,GWh;HHV,h2,1.000000000
GWh,m³,h2,333737.489433037
GWh,m³;norm,h2,333737.489433037
GWh,m³;standard,h2,333737.489433037
GWh;LHV,t,h2,30.003000300
GWh;LHV,kg,h2,30003.000300030
GWh;LHV,kilometric_ton,h2,0.030003000
GWh;LHV,GJ,h2,3600.000000000
GWh;LHV,GJ;LHV,h2,3600.000000000
GWh;LHV,GJ;HHV,h2,3600.000000000
GWh;LHV,MWh,h2,1000.000000000
GWh;LHV,MWh;LHV,h2,1000.000000000
GWh;LHV,MWh;HHV,h2,1000.000000000
GWh;LHV,kWh,h2,1000000.000000000
GWh;LHV,kWh;LHV,h2,1000000.000000000
GWh;LHV,kWh;HHV,h2,1000000.000000000
GWh;LHV,MJ,h2,3600000.000000000
GWh;LHV,MJ;LHV,h2,3600000.000000000
GWh;LHV,MJ;HHV,h2,3600000.000000000
GWh;LHV,GWh,h2,1.000000000
GWh;LHV,GWh;HHV,h2,1.000000000
GWh;LHV,m³,h2,333737.489433037
GWh;LHV,m³;norm,h2,333737.489433037
GWh;LHV,m³;standard,h2,333737.489433037
GWh;HHV,t,h2,25.374270490
GWh;HHV,kg,h2,25374.270489723
GWh;HHV,kilometric_ton,h2,0.025374270
GWh;HHV,GJ,h2,3600.000000000
GWh;HHV,GJ;LHV,h2,3600.000000000
GWh;HHV,GJ;HHV,h2,3600.000000000
GWh;HHV,MWh,h2,1000.000000000
GWh;HHV,MWh;LHV,h2,1000.000000000
GWh;HHV,MWh;HHV,h2,1000.000000000
GWh;HHV,kWh,h2,1000000.000000000
GWh;HHV,kWh;LHV,h2,1000000.000000000
GWh;HHV,kWh;HHV,h2,1000000.000000000
GWh;HHV,MJ,h2,3600000.000000000
GWh;HHV,MJ;LHV,h2,3600000.000000000
GWh;HHV,MJ;HHV,h2,3600000.000000000
GWh;HHV,GWh,h2,1.000000000
GWh;HHV,GWh;LHV,h2,1.000000000
GWh;HHV,m³,h2,282249.949830071
GWh;HHV,m³;norm,h2,282249.949830071
GWh;HHV,m³;standard,h2,282249.949830071
m³,t,h2,0.000089900
m³,kg,h2,0.089900000
m³,kilometric_ton,h2,0.000000090
m³,GJ,h2,0.010786921
m³,GJ;LHV,h2,0.010786921
m³,GJ;HHV,h2,0.012754652
m³,MWh,h2,0.002996367
m³,MWh;LHV,h2,0.002996367
m³,MWh;HHV,h2,0.003542959
m³,kWh,h2,2.996367000
m³,kWh;LHV,h2,2.996367000
m³,kWh;HHV,h2,3.542959000
m³,MJ,h2,10.786921200
m³,MJ;LHV,h2,10.786921200
m³,MJ;HHV,h2,12.754652400
m³,GWh,h2,0.000002996
m³,GWh;LHV,h2,0.000002996
m³,GWh;HHV,h2,0.000003543
m³,m³;norm,h2,1.000000000
m³,m³;standard,h2,1.000000000
m³;norm,t,h2,0.000089900
m³;norm,kg,h2,0.089900000
m³;norm,kilometric_ton,h2,0.000000090
m³;norm,GJ,h2,0.010786921
m³;norm,GJ;LHV,h2,0.010786921
m³;norm,GJ;HHV,h2,0.012754652
m³;norm,MWh,h2,0.002996367
m³;norm,MWh;LHV,h2,0.002996367
m³;norm,MWh;HHV,h2,0.003542959
m³;norm,kWh,h2,2.996367000
m³;norm,kWh;LHV,h2,2.996367000
m³;norm,kWh;HHV,h2,3.542959000
m³;norm,MJ,h2,10.786921200
m³;norm,MJ;LHV,h2,10.786921200
m³;norm,MJ;HHV,h2,12.754652400
m³;norm,GWh,h2,0.000002996
m³;norm,GWh;LHV,h2,0.000002996
m³;norm,GWh;HHV,h2,0.000003543
m³;norm,m³,h2,1.000000000
m³;norm,m³;standard,h2,1.000000000
m³;standard,t,h2,0.000089900
m³;standard,kg,h2,0.089900000
m³;standard,kilometric_ton,h2,0.000000090
m³;standard,GJ,h2,0.010786921
m³;standard,GJ;LHV,h2,0.010786921
m³;standard,GJ;HHV,h2,0.012754652
m³;standard,MWh,h2,0.002996367
m³;standard,MWh;LHV,h2,0.002996367
m³;standard,MWh;HHV,h2,0.003542959
m³;standard,kWh,h2,2.996367000
m³;standard,kWh;LHV,h2,2.996367000
m³;standard,kWh;HHV,h2,3.542959000
m³;standard,MJ,h2,10.786921200
m³;standard,MJ;LHV,h2,10.786921200
m³;standard,MJ;HHV,h2,12.754652400
m³;standard,GWh,h2,0.000002996
m³;standard,GWh;LHV,h2,0.000002996
m³;standard,GWh;HHV,h2,0.000003543
m³;standard,m³,h2,1.000000000
m³;standard,m³;norm,h2,1.000000000
t,kg,nh3,1000.000000000
t,kilometric_ton,nh3,0.001000000
t,GJ,nh3,0.053800000
t,GJ;LHV,nh3,0.053800000
t,GJ;HHV,nh3,0.053800000
t,MWh,nh3,0.014944444
t,MWh;LHV,nh3,0.014944444
t,MWh;HHV,nh3,0.014944444
t,kWh,nh3,14.944444444
t,kWh;LHV,nh3,14.944444444
t,kWh;HHV,nh3,14.944444444
t,MJ,nh3,53.800000000
t,MJ;LHV,nh3,53.800000000
t,MJ;HHV,nh3,53.800000000
t,GWh,nh3,0.000014944
t,GWh;LHV,nh3,0.000014944
t,GWh;HHV,nh3,0.000014944
t,m³,nh3,1297.016861219
t,m³;norm,nh3,1297.016861219
t,m³;standard,nh3,1297.016861219
kg,t,nh3,0.001000000
kg,kilometric_ton,nh3,0.000001000
kg,GJ,nh3,0.000053800
kg,GJ;LHV,nh3,0.000053800
kg,GJ;HHV,nh3,0.000053800
kg,MWh,nh3,0.000014944
kg,MWh;LHV,nh3,0.000014944
kg,MWh;HHV,nh3,0.000014944
kg,kWh,nh3,0.014944444
kg,kWh;LHV,nh3,0.014944444
kg,kWh;HHV,nh3,0.014944444
kg,MJ,nh3,0.053800000
kg,MJ;LHV,nh3,0.053800000
kg,MJ;HHV,nh3,0.053800000
kg,GWh,nh3,0.000000015
kg,GWh;LHV,nh3,0.000000015
kg,GWh;HHV,nh3,0.000000015
kg,m³,nh3,1.297016861
kg,m³;norm,nh3,1.297016861
kg,m³;standard,nh3,1.297016861
kilometric_ton,t,nh3,1000.000000000
kilometric_ton,kg,nh3,1000000.000000000
kilometric_ton,GJ,nh3,53.800000000
kilometric_ton,GJ;LHV,nh3,53.800000000
kilometric_ton,GJ;HHV,nh3,53.800000000
kilometric_ton,MWh,nh3,14.944444444
kilometric_ton,MWh;LHV,nh3,14.944444444
kilometric_ton,MWh;HHV,nh3,14.944444444
kilometric_ton,kWh,nh3,14944.444444444
kilometric_ton,kWh;LHV,nh3,14944.444444444
kilometric_ton,kWh;HHV,nh3,14944.444444444
kilometric_ton,MJ,nh3,53800.000000000
kilometric_ton,MJ;LHV,nh3,53800.000000000
kilometric_ton,MJ;HHV,nh3,53800.000000000
kilometric_ton,GWh,nh3,0.014944444
kilometric_ton,GWh;LHV,nh3,0.014944444
kilometric_ton,GWh;HHV,nh3,0.014944444
kilometric_ton,m³,nh3,1297016.861219196
kilometric_ton,m³;norm,nh3,1297016.861219196
kilometric_ton,m³;standard,nh3,1297016.861219196
GJ,t,nh3,18.587360595
GJ,kg,nh3,18587.360594796
GJ,kilometric_ton,nh3,0.018587361
GJ,GJ;LHV,nh3,1.000000000
GJ,GJ;HHV,nh3,1.000000000
GJ,MWh,nh3,0.277777778
GJ,MWh;LHV,nh3,0.277777778
GJ,MWh;HHV,nh3,0.277777778
GJ,kWh,nh3,277.777777778
GJ,kWh;LHV,nh3,277.777777778
GJ,kWh;HHV,nh3,277.777777778
GJ,MJ,nh3,1000.000000000
GJ,MJ;LHV,nh3,1000.000000000
GJ,MJ;HHV,nh3,1000.000000000
GJ,GWh,nh3,0.000277778
GJ,GWh;LHV,nh3,0.000277778
GJ,GWh;HHV,nh3,0.000277778
GJ,m³,nh3,24108.120097011
GJ,m³;norm,nh3,24108.120097011
GJ,m³;standard,nh3,24108.120097011
GJ;LHV,t,nh3,18.587360595
GJ;LHV,kg,nh3,18587.360594796
GJ;LHV,kilometric_ton,nh3,0.018587361
GJ;LHV,GJ,nh3,1.000000000
GJ;LHV,GJ;HHV,nh3,1.000000000
GJ;LHV,MWh,nh3,0.277777778
GJ;LHV,MWh;LHV,nh3,0.277777778
GJ;LHV,MWh;HHV,nh3,0.277777778
GJ;LHV,kWh,nh3,277.777777778
GJ;LHV,kWh;LHV,nh3,277.777777778
GJ;LHV,kWh;HHV,nh3,277.777777778
GJ;LHV,MJ,nh3,1000.000000000
GJ;LHV,MJ;LHV,nh3,1000.000000000
GJ;LHV,MJ;HHV,nh3,1000.000000000
GJ;LHV,GWh,nh3,0.000277778
GJ;LHV,GWh;LHV,nh3,0.000277778
GJ;LHV,GWh;HHV,nh3,0.000277778
GJ;LHV,m³,nh3,24108.120097011
GJ;LHV,m³;norm,nh3,24108.120097011
GJ;LHV,m³;standard,nh3,24108.120097011
GJ;HHV,t,nh3,18.587360595
GJ;HHV,kg,nh3,18587.360594796
GJ;HHV,kilometric_ton,nh3,0.018587361
GJ;HHV,GJ,nh3,1.000000000
GJ;HHV,GJ;LHV,nh3,1.000000000
GJ;HHV,MWh,nh3,0.277777778
GJ;HHV,MWh;LHV,nh3,0.277777778
GJ;HHV,MWh;HHV,nh3,0.277777778
GJ;HHV,kWh,nh3,277.777777778
GJ;HHV,kWh;LHV,nh3,277.777777778
GJ;HHV,kWh;HHV,nh3,277.777777778
GJ;HHV,MJ,nh3,1000.000000000
GJ;HHV,MJ;LHV,nh3,1000.000000000
GJ;HHV,MJ;HHV,nh3,1000.000000000
GJ;HHV,GWh,nh3,0.000277778
GJ;HHV,GWh;LHV,nh3,0.000277778
GJ;HHV,GWh;HHV,nh3,0.000277778
GJ;HHV,m³,nh3,24108.120097011
GJ;HHV,m³;norm,nh3,24108.120097011
GJ;HHV,m³;standard,nh3,24108.120097011
MWh,t,nh3,66.914498141
MWh,kg,nh3,66914.498141264
MWh,kilometric_ton,nh3,0.066914498
MWh,GJ,nh3,3.600000000
MWh,GJ;LHV,nh3,3.600000000
MWh,GJ;HHV,nh3,3.600000000
MWh,MWh;LHV,nh3,1.000000000
MWh,MWh;HHV,nh3,1.000000000
MWh,kWh,nh3,1000.000000000
MWh,kWh;LHV,nh3,1000.000000000
MWh,kWh;HHV,nh3,1000.000000000
MWh,MJ,nh3,3600.000000000
MWh,MJ;LHV,nh3,3600.000000000
MWh,MJ;HHV,nh3,3600.000000000
MWh,GWh,nh3,0.001000000
MWh,GWh;LHV,nh3,0.001000000
MWh,GWh;HHV,nh3,0.001000000
MWh,m³,nh3,86789.232349240
MWh,m³;norm,nh3,86789.232349240
MWh,m³;standard,nh3,86789.232349240
MWh;LHV,t,nh3,66.914498141
MWh;LHV,kg,nh3,66914.498141264
MWh;LHV,kilometric_ton,nh3,0.066914498
MWh;LHV,GJ,nh3,3.600000000
MWh;LHV,GJ;LHV,nh3,3.600000000
MWh;LHV,GJ;HHV,nh3,3.600000000
MWh;LHV,MWh,nh3,1.000000000
MWh;LHV,MWh;HHV,nh3,1.000000000
MWh;LHV,kWh,nh3,1000.000000000
MWh;LHV,kWh;LHV,nh3,1000.000000000
MWh;LHV,kWh;HHV,nh3,1000.000000000
MWh;LHV,MJ,nh3,3600.000000000
MWh;LHV,MJ;LHV,nh3,3600.000000000
MWh;LHV,MJ;HHV,nh3,3600.000000000
MWh;LHV,GWh,nh3,0.001000000
MWh;LHV,GWh;LHV,nh3,0.001000000
MWh;LHV,GWh;HHV,nh3,0.001000000
MWh;LHV,m³,nh3,86789.232349240
MWh;LHV,m³;norm,nh3,86789.232349240
MWh;LHV,m³;standard,nh3,86789.232349240
MWh;HHV,t,nh3,66.914498141
MWh;HHV,kg,nh3,66914.498141264
MWh;HHV,kilometric_ton,nh3,0.066914498
MWh;HHV,GJ,nh3,3.600000000
MWh;HHV,GJ;LHV,nh3,3.600000000
MWh;HHV,GJ;HHV,nh3,3.600000000
MWh;HHV,MWh,nh3,1.000000000
MWh;HHV,MWh;LHV,nh3,1.000000000
MWh;HHV,kWh,nh3,1000.000000000
MWh;HHV,kWh;LHV,nh3,1000.000000000
MWh;HHV,kWh;HHV,nh3,1000.000000000
MWh;HHV,MJ,nh3,3600.000000000
MWh;HHV,MJ;LHV,nh3,3600.000000000
MWh;HHV,MJ;HHV,nh3,3600.000000000
MWh;HHV,GWh,nh3,0.001000000
MWh;HHV,GWh;LHV,nh3,0.001000000
MWh;HHV,GWh;HHV,nh3,0.001000000
MWh;HHV,m³,nh3,86789.232349240
MWh;HHV,m³;norm,nh3,86789.232349240
MWh;HHV,m³;standard,nh3,86789.232349240
kWh,t,nh3,0.066914498
kWh,kg,nh3,66.914498141
kWh,kilometric_ton,nh3,0.000066914
kWh,GJ,nh3,0.003600000
kWh,GJ;LHV,nh3,0.003600000
kWh,GJ;HHV,nh3,0.003600000
kWh,MWh,nh3,0.001000000
kWh,MWh;LHV,nh3,0.001000000
kWh,MWh;HHV,nh3,0.001000000
kWh,kWh;LHV,nh3,1.000000000
kWh,kWh;HHV,nh3,1.000000000
kWh,MJ,nh3,3.600000000
kWh,MJ;LHV,nh3,3.600000000
kWh,MJ;HHV,nh3,3.600000000
kWh,GWh,nh3,0.000001000
kWh,GWh;LHV,nh3,0.000001000
kWh,GWh;HHV,nh3,0.000001000
kWh,m³,nh3,86.789232349
kWh,m³;norm,nh3,86.789232349
kWh,m³;standard,nh3,86.789232349
kWh;LHV,t,nh3,0.066914498
kWh;LHV,kg,nh3,66.914498141
kWh;LHV,kilometric_ton,nh3,0.000066914
kWh;LHV,GJ,nh3,0.003600000
kWh;LHV,GJ;LHV,nh3,0.003600000
kWh;LHV,GJ;HHV,nh3,0.003600000
kWh;LHV,MWh,nh3,0.001000000
kWh;LHV,MWh;LHV,nh3,0.001000000
kWh;LHV,MWh;HHV,nh3,0.001000000
kWh;LHV,kWh,nh3,1.000000000
kWh;LHV,kWh;HHV,nh3,1.000000000
kWh;LHV,MJ,nh3,3.600000000
kWh;LHV,MJ;LHV,nh3,3.600000000
kWh;LHV,MJ;HHV,nh3,3.600000000
kWh;LHV,GWh,nh3,0.000001000
kWh;LHV,GWh;LHV,nh3,0.000001000
kWh;LHV,GWh;HHV,nh3,0.000001000
kWh;LHV,m³,nh3,86.789232349
kWh;LHV,m³;norm,nh3,86.789232349
kWh;LHV,m³;standard,nh3,86.789232349
kWh;HHV,t,nh3,0.066914498
kWh;HHV,kg,nh3,66.914498141
kWh;HHV,kilometric_ton,nh3,0.000066914
kWh;HHV,GJ,nh3,0.003600000
kWh;HHV,GJ;LHV,nh3,0.003600000
kWh;HHV,GJ;HHV,nh3,0.003600000
kWh;HHV,MWh,nh3,0.001000000
kWh;HHV,MWh;LHV,nh3,0.001000000
kWh;HHV,MWh;HHV,nh3,0.001000000
kWh;HHV,kWh,nh3,1.000000000
kWh;HHV,kWh;LHV,nh3,1.000000000
kWh;HHV,MJ,nh3,3.600000000
kWh;HHV,MJ;LHV,nh3,3.600000000
kWh;HHV,MJ;HHV,nh3,3.600000000
kWh;HHV,GWh,nh3,0.000001000
kWh;HHV,GWh;LHV,nh3,0.000001000
kWh;HHV,GWh;HHV,nh3,0.000001000
kWh;HHV,m³,nh3,86.789232349
kWh;HHV,m³;norm,nh3,86.789232349
kWh;HHV,m³;standard,nh3,86.789232349
MJ,t,nh3,0.018587361
MJ,kg,nh3,18.587360595
MJ,kilometric_ton,nh3,0.000018587
MJ,GJ,nh3,0.001000000
MJ,GJ;LHV,nh3,0.001000000
MJ,GJ;HHV,nh3,0.001000000
MJ,MWh,nh3,0.000277778
MJ,MWh;LHV,nh3,0.000277778
MJ,MWh;HHV,nh3,0.000277778
MJ,kWh,nh3,0.277777778
MJ,kWh;LHV,nh3,0.277777778
MJ,kWh;HHV,nh3,0.277777778
MJ,MJ;LHV,nh3,1.000000000
MJ,MJ;HHV,nh3,1.000000000
MJ,GWh,nh3,0.000000278
MJ,GWh;LHV,nh3,0.000000278
MJ,GWh;HHV,nh3,0.000000278
MJ,m³,nh3,24.108120097
MJ,m³;norm,nh3,24.108120097
MJ,m³;standard,nh3,24.108120097
MJ;LHV,t,nh3,0.018587361
MJ;LHV,kg,nh3,18.587360595
MJ;LHV,kilometric_ton,nh3,0.000018587
MJ;LHV,GJ,nh3,0.001000000
MJ;LHV,GJ;LHV,nh3,0.001000000
MJ;LHV,GJ;HHV,nh3,0.001000000
MJ;LHV,MWh,nh3,0.000277778
MJ;LHV,MWh;LHV,nh3,0.000277778
MJ;LHV,MWh;HHV,nh3,0.000277778
MJ;LHV,kWh,nh3,0.277777778
MJ;LHV,kWh;LHV,nh3,0.277777778
MJ;LHV,kWh;HHV,nh3,0.277777778
MJ;LHV,MJ,nh3,1.000000000
MJ;LHV,MJ;HHV,nh3,1.000000000
MJ;LHV,GWh,nh3,0.000000278
MJ;LHV,GWh;LHV,nh3,0.000000278
MJ;LHV,GWh;HHV,nh3,0.000000278
MJ;LHV,m³,nh3,24.108120097
MJ;LHV,m³;norm,nh3,24.108120097
MJ;LHV,m³;standard,nh3,24.108120097
MJ;HHV,t,nh3,0.018587361
MJ;HHV,kg,nh3,18.587360595
MJ;HHV,kilometric_ton,nh3,0.000018587
MJ;HHV,GJ,nh3,0.001000000
MJ;HHV,GJ;LHV,nh3,0.001000000
MJ;HHV,GJ;HHV,nh3,0.001000000
MJ;HHV,MWh,nh3,0.000277778
MJ;HHV,MWh;LHV,nh3,0.000277778
MJ;HHV,MWh;HHV,nh3,0.000277778
MJ;HHV,kWh,nh3,0.277777778
MJ;HHV,kWh;LHV,nh3,0.277777778
MJ;HHV,kWh;HHV,nh3,0.277777778
MJ;HHV,MJ,nh3,1.000000000
MJ;HHV,MJ;LHV,nh3,1.000000000
MJ;HHV,GWh,nh3,0.000000278
MJ;HHV,GWh;LHV,nh3,0.000000278
MJ;HHV,GWh;HHV,nh3,0.000000278
MJ;HHV,m³,nh3,24.108120097
MJ;HHV,m³;norm,nh3,24.108120097
MJ;HHV,m³;standard,nh3,24.108120097
GWh,t,nh3,66914.498141264
GWh,kg,nh3,66914498.141263932
GWh,kilometric_ton,nh3,66.914498141
GWh,GJ,nh3,3600.000000000
GWh,GJ;LHV,nh3,3600.000000000
GWh,GJ;HHV,nh3,3600.000000000
GWh,MWh,nh3,1000.000000000
GWh,MWh;LHV,nh3,1000.000000000
GWh,MWh;HHV,nh3,1000.000000000
GWh,kWh,nh3,1000000.000000000
GWh,kWh;LHV,nh3,1000000.000000000
GWh,kWh;HHV,nh3,1000000.000000000
GWh,MJ,nh3,3600000.000000000
GWh,MJ;LHV,nh3,3600000.000000000
GWh,MJ;HHV,nh3,3600000.000000000
GWh,GWh;LHV,nh3,1.000000000
GWh,GWh;HHV,nh3,1.000000000
GWh,m³,nh3,86789232.349239871
GWh,m³;norm,nh3,86789232.349239871
GWh,m³;standard,nh3,86789232.349239871
GWh;LHV,t,nh3,66914.498141264
GWh;LHV,kg,nh3,66914498.141263932
GWh;LHV,kilometric_ton,nh3,66.914498141
GWh;LHV,GJ,nh3,3600.000000000
GWh;LHV,GJ;LHV,nh3,3600.000000000
GWh;LHV,GJ;HHV,nh3,3600.000000000
GWh;LHV,MWh,nh3,1000.000000000
GWh;LHV,MWh;LHV,nh3,1000.000000000
GWh;LHV,MWh;HHV,nh3,1000.000000000
GWh;LHV,kWh,nh3,1000000.000000000
GWh;LHV,kWh;LHV,nh3,1000000.000000000
GWh;LHV,kWh;HHV,nh3,1000000.000000000
GWh;LHV,MJ,nh3,3600000.000000000
GWh;LHV,MJ;LHV,nh3,3600000.000000000
GWh;LHV,MJ;HHV,nh3,3600000.000000000
GWh;LHV,GWh,nh3,1.000000000
GWh;LHV,GWh;HHV,nh3,1.000000000
GWh;LHV,m³,nh3,86789232.349239871
GWh;LHV,m³;norm,nh3,86789232.349239871
GWh;LHV,m³;standard,nh3,86789232.349239871
GWh;HHV,t,nh3,66914.498141264
GWh;HHV,kg,nh3,66914498.141263932
GWh;HHV,kilometric_ton,nh3,66.914498141
GWh;HHV,GJ,nh3,3600.000000000
GWh;HHV,GJ;LHV,nh3,3600.000000000
GWh;HHV,GJ;HHV,nh3,3600.000000000
GWh;HHV,MWh,nh3,1000.000000000
GWh;HHV,MWh;LHV,nh3,1000.000000000
GWh;HHV,MWh;HHV,nh3,1000.000000000
GWh;HHV,kWh,nh3,1000000.000000000
GWh;HHV,kWh;LHV,nh3,1000000.000000000
GWh;HHV,kWh;HHV,nh3,1000000.000000000
GWh;HHV,MJ,nh3,3600000.000000000
GWh;HHV,MJ;LHV,nh3,3600000.000000000
GWh;HHV,MJ;HHV,nh3,3600000.000000000
GWh;HHV,GWh,nh3,1.000000000
GWh;HHV,GWh;LHV,nh3,1.000000000
GWh;HHV,m³,nh3,86789232.349239871
GWh;HHV,m³;norm,nh3,86789232.349239871
GWh;HHV,m³;standard,nh3,86789232.349239871
m³,t,nh3,0.000771000
m³,kg,nh3,0.771000000
m³,kilometric_ton,nh3,0.000000771
m³,GJ,nh3,0.000041480
m³,GJ;LHV,nh3,0.000041480
m³,GJ;HHV,nh3,0.000041480
m³,MWh,nh3,0.000011522
m³,MWh;LHV,nh3,0.000011522
m³,MWh;HHV,nh3,0.000011522
m³,kWh,nh3,0.011522167
m³,kWh;LHV,nh3,0.011522167
m³,kWh;HHV,nh3,0.011522167
