from,to,ft,factor
USD_2021,EUR_2022,,0.804608990
USD_2021,USD_2018,,0.928028423
USD_2021,EUR_2014,,0.666163316
USD_2021,EUR_2016,,0.687520800
USD_2021,MEUR_2014,,0.000000666
USD_2021,EUR_2005,,0.591572789
USD_2021,USD_2005,,0.735970128
EUR_2019,EUR_2013,,0.899437835
EUR_2019,MEUR_2020,,0.000001018
EUR_2019,EUR,,0.813727105
EUR_2019,EUR_2020,,1.018108102
EUR_2019,USD_2021,,1.375531668
EUR_2019,MUSD_2022,,0.000001472
EUR_2019,EUR_2015,,0.933314529
EUR_2019,MEUR_2015,,0.000000933
EUR_2019,USD,,1.012350218
EUR_2019,kEUR,,0.000813727
EUR_2019,MUSD,,0.000001012
EUR_2019,EUR_2022,,1.106765147
EUR_2019,USD_2018,,1.276532485
EUR_2019,EUR_2014,,0.916328737
EUR_2019,EUR_2016,,0.945706633
EUR_2019,MEUR_2014,,0.000000916
EUR_2019,EUR_2005,,0.813727105
EUR_2019,USD_2005,,1.012350218
kg/d,t/a,,0.365000000
kg/d,Mt/a,,0.000000365
kg/d,metric_ton/a,,0.365000000
kg/d,kilometric_ton/a,,0.000365000
kg/d,kg/a,,365.000000000
kg/d,kg/day,,1.000000000
kg/d,lb/hour,,0.091859276
EUR_2020/a,USD_2020/a,,1.292975707
EUR_2020/a,EUR/a,,0.799254130
EUR_2020/a,USD/a,,0.994344526
EUR_2020/a,USD_2018/year,,1.253828039
EUR_2020/a,EUR_2014/year,,0.900030886
EUR_2020/a,MEUR_2014/a,,0.000000900
EUR_2020/a,EUR_2005/a,,0.799254130
EUR_2020/a,USD_2005/a,,0.994344526
USD_2020/a,EUR_2020/a,,0.773409736
USD_2020/a,EUR/a,,0.618150925
USD_2020/a,USD/a,,0.769035737
USD_2020/a,USD_2018/year,,0.969722812
USD_2020/a,EUR_2014/year,,0.696092649
USD_2020/a,MEUR_2014/a,,0.000000696
USD_2020/a,EUR_2005/a,,0.618150925
USD_2020/a,USD_2005/a,,0.769035737
pct kWh,MWh,,0.000010000
pct kWh,GJ,,0.000036000
pct kWh,kWh,,0.010000000
pct kWh,GJ,,0.000036000
pct kWh,MJ,,0.036000000
pct kWh,MWh,,0.000010000
pct kWh,pct MWh,,0.001000000
