type,flow_type,subtech,region,period,component,reported_value,reported_unc,reported_unit,reference_value,reference_unit,comment,src_ref,src_comment
vopex,other,HT-DAC,,,,5.0,,USD,,,Lower bound,NASEM (2019),table 5.3
vopex,other,HT-DAC,,,,7.0,,USD,,,Upper bound,NASEM (2019),table 5.3
capex_ann,,LT-DAC,,,,186.0,,USD,,,"High cost scenario. Value stated in MEUR/yr, for a production of 1 Mt/yr = 186 EUR/t",NASEM (2019),table 5.10
capex_ann,,LT-DAC,,,,70.0,,USD,,,"Low cost scenario. Value stated in MEUR/yr, for a production of 1 Mt/yr = 70 EUR/t",NASEM (2019),table 5.10
vopex,adsorbent,LT-DAC,,,,19.0,,USD,,,High cost scenario,NASEM (2019),table 5.10
vopex,adsorbent,LT-DAC,,,,9.0,,USD,,,Low cost scenario,NASEM (2019),table 5.10
capex_ann,,LT-DAC,,,,988.0,,USD,,,"Highest cost scenario. Value stated in MEUR/yr, for a production of 1 Mt/yr = 988 EUR/t",NASEM (2019),table 5.10
capex_ann,,LT-DAC,,,,3.6,,USD,,,"Lowest cost scenario. Value stated in MEUR/yr, for a production of 1 Mt/yr = 3.6 EUR/t",NASEM (2019),table 5.10
vopex,adsorbent,LT-DAC,,,,4.3,,USD,,,Highest cost scenario,NASEM (2019),table 5.10
vopex,adsorbent,LT-DAC,,,,1.3,,USD,,,Lowest cost scenario,NASEM (2019),table 5.10
