type,flow_type,region,period,component,reported_value,reported_unc,reported_unit,reference_value,reference_unit,comment,src_ref,src_comment
capex,,,2020.0,,660.0,,EUR,,,,"Fasihi et al., 2019",Table 8
capex,,,2030.0,,590.0,,EUR,,,,"Fasihi et al., 2020",Table 8
capex,,,2040.0,,554.0,,EUR,,,,"Fasihi et al., 2021",Table 8
capex,,,2050.0,,530.0,,EUR,,,,"Fasihi et al., 2022",Table 8
fopex_rel,,,,,2.0,,percent,,,,"Fasihi et al., 2022",Table 8
demand,elec,,2020.0,,0.333,,MWh,,,,"Fasihi et al., 2019",Table 8
demand,elec,,2030.0,,0.307,,MWh,,,,"Fasihi et al., 2020",Table 8
demand,elec,,2040.0,,0.293,,MWh,,,,"Fasihi et al., 2021",Table 8
demand,elec,,2050.0,,0.285,,MWh,,,,"Fasihi et al., 2022",Table 8
