subtech,mode,type,flow_type,component,region,period,reported_value,reported_unc,reported_unit,reference_value,reference_unit,comment,src_ref,src_comment
,,capex,,,,,348,,MUSD,1.5,Mt/a,,"Jarvis and Samsatli, 2018",Section 2.1.1
,,energy_dem,elec,,,,173.7,27.2,kWh,,,Quelle prüfen; hat keine Wärme GJ/t,"Fiamelda et al, 2020",
,,energy_dem,elec,,,,91.5,68.5,kWh,,,,"Jarvis and Samsatli, 2018",Section 2.1.2
,,energy_dem,heat,,,,3.29,,GJ,,,,"DECHEMA, 2017",Section 4.3.1
,,feedstock_dem,nh3,,,,0.57,,t,,,,"DECHEMA, 2017",Section 4.3.1
,,feedstock_dem,nh3,,,,0.58,,t,,,Prozess-Output: Wasser (0.34 t/t); CO2 und Ammonia werden teilweise im Kreis geführt (überstöchiometrischer Bedarf),"Riegel's Handbook of Ind. Chem., 1974",
,,feedstock_dem,co2,,,,0.7425,0.0075,t,,,,"Jarvis and Samsatli, 2018",Section 2.1.2
,,feedstock_dem,co2,,,,0.73,,t,,,,"DECHEMA, 2017",Section 4.3.1
,,feedstock_dem,co2,,,,0.76,,t,,,Prozess-Output: Wasser (0.34 t/t); CO2 und Ammonia werden teilweise im Kreis geführt (überstöchiometrischer Bedarf),"Riegel's Handbook of Ind. Chem., 1974",
