subtech,mode,type,flow_type,component,region,period,reported_value,reported_unc,reported_unit,reference_value,reference_unit,comment,src_ref,src_comment
Above-ground compressed storage,,total_cost,Full plant,,,,0.33,,USD,,kg,,Abdin et al. (2021)
Above-ground compressed storage,,total_cost,,,,,25.2,,USD,,kg,,Abdin et al. (2021)
Salt caverns,,total_cost,,,,,0.14,,USD,,kg,,Abdin et al. (2021)
,,capex,,,,2017,100,,EUR,,m³;norm,"here, H2 is stored at 500 bar. ""under standard conditions, (atmospheric pressure and 0°C), at 500 bar, H2 has a density of 33kg/m^3"" ",Gorre et al. (2019)
,,fopex_rel,,,,2017,1.5,,percent,,,,Gorre et al. (2019)
,,capex,,,,2030,75,,EUR,,m³;norm,"here, H2 is stored at 500 bar. ""under standard conditions, (atmospheric pressure and 0°C), at 500 bar, H2 has a density of 33kg/m^3"" ",Gorre et al. (2019)
,,fopex_rel,,,,2030,1.5,,percent,,,,Gorre et al. (2019)
Salt caverns,,total_cost,,,,2020,0.24,,EUR,,kWh,40 days average storage duration,Michalski et al. (2017)
