reported_variable,reference_variable,period,reported_value,reported_unc,reported_unit,reference_value,reference_unit,comment,source,source_detail
CAPEX,Output Capacity|steelhrc,,450,,MUSD,4,Mt/a,,IEA-GHG13,Tables 1 and 5
Input|elec,Output|steelhrc,,105.3,,kWh,1,t,,IEA-GHG13,Table D-15
Input|heat,Output|steelhrc,,468.33,,kWh,1,t,Assuming 20MJ/Nm³ for caloric heating value of COG.,IEA-GHG13,Table D-15
Input|elec,Output|steelhrc,,0.3,,GJ,1,t,,Worell2007,Table 2.1.5
Input|heat,Output|steelhrc,,1.3,,GJ,1,t,,Worell2007,Table 2.1.5
Input|steelslab,Output|steelhrc,,1052.6,,kg,1,t,,IEA-GHG13,Table D-15
