subtech,variable,period,component,reported_value,reported_unc,reported_unit,reference_value,reference_unit,comment,comment2,source,source_detail
HT-DAC,VOPEX,,Other,5,,USD,1,t,Lower bound,,NASEM (2019),Table 5.3
HT-DAC,VOPEX,,Other,7,,USD,1,t,Upper bound,,NASEM (2019),Table 5.3
LT-DAC,CAPEX Ann (??),,,186,,USD,1,t/a,"High cost scenario. Value stated in MEUR/yr, for a production of 1 Mt/yr = 186 EUR/t",,NASEM (2019),Table 5.10
LT-DAC,CAPEX Ann (??),,,70,,USD,1,t/a,"Low cost scenario. Value stated in MEUR/yr, for a production of 1 Mt/yr = 70 EUR/t",,NASEM (2019),Table 5.10
LT-DAC,VOPEX,,Adsorbent,19,,USD,1,t,High cost scenario,,NASEM (2019),Table 5.10
LT-DAC,VOPEX,,Adsorbent,9,,USD,1,t,Low cost scenario,,NASEM (2019),Table 5.10
LT-DAC,CAPEX Ann (??),,,988,,USD,1,t/a,"Highest cost scenario. Value stated in MEUR/yr, for a production of 1 Mt/yr = 988 EUR/t",,NASEM (2019),Table 5.10
LT-DAC,CAPEX Ann (??),,,3.6,,USD,1,t/a,"Lowest cost scenario. Value stated in MEUR/yr, for a production of 1 Mt/yr = 3.6 EUR/t",,NASEM (2019),Table 5.10
LT-DAC,VOPEX,,Adsorbent,4.3,,USD,1,t,Highest cost scenario,,NASEM (2019),Table 5.10
LT-DAC,VOPEX,,Adsorbent,1.3,,USD,1,t,Lowest cost scenario,,NASEM (2019),Table 5.10
