source,source_detail,subtech,heat_source,size,period,variable,reference_variable,value,uncertainty,unit,reference_value,reference_unit,comment
DEA-TIPIH-2026,"Sheet 5.1a (Electric boiler, 0.4-0.69 kV, steam, 1-12 bar), Row 23 (Variable O&M costs)",electrode-boiler,*,1-5 MW,2035,OPEX Variable,Output|Heat,0.627,,EUR_2024,1,MWh,Source reports EUR 2025; EUR_2024 used as proxy (EUR_2025 not registered in cet-units)
DEA-TIPIH-2026,"Sheet 5.1a (Electric boiler, 0.4-0.69 kV, steam, 1-12 bar), Row 23 (Variable O&M costs)",electrode-boiler,*,1-5 MW,2040,OPEX Variable,Output|Heat,0.611,,EUR_2024,1,MWh,Source reports EUR 2025; EUR_2024 used as proxy (EUR_2025 not registered in cet-units)
DEA-TIPIH-2026,"Sheet 5.1a (Electric boiler, 0.4-0.69 kV, steam, 1-12 bar), Row 23 (Variable O&M costs)",electrode-boiler,*,1-5 MW,2050,OPEX Variable,Output|Heat,0.578,,EUR_2024,1,MWh,Source reports EUR 2025; EUR_2024 used as proxy (EUR_2025 not registered in cet-units)
DEA-TIPIH-2026,"Sheet 5.1a (Electric boiler, 0.4-0.69 kV, steam, 1-12 bar), Row 12 (Technical lifetime)",electrode-boiler,*,1-5 MW,2025,Lifetime,,25,,a,,,
DEA-TIPIH-2026,"Sheet 5.1b (Electric boiler, 10 kV, steam, 1-12 bar), Row 7 (Efficiency at nominal load)",electrode-boiler,*,5-60 MW,2025,Input|Electricity,Output|Heat,1,,kWh,0.99,kWh,Electrical efficiency 99% (range 98-100%)
DEA-TIPIH-2026,"Sheet 5.1b (Electric boiler, 10 kV, steam, 1-12 bar), Row 19 (Nominal investment)",electrode-boiler,*,5-60 MW,2025,CAPEX,Output Capacity|Heat,0.11,,MEUR_2024,1,MW,Medium-voltage (10 kV) steam boiler; Source reports EUR 2025; EUR_2024 used as proxy (EUR_2025 not registered in cet-units)
DEA-TIPIH-2026,"Sheet 5.1b (Electric boiler, 10 kV, steam, 1-12 bar), Row 19 (Nominal investment)",electrode-boiler,*,5-60 MW,2030,CAPEX,Output Capacity|Heat,0.1,,MEUR_2024,1,MW,Medium-voltage (10 kV) steam boiler; Source reports EUR 2025; EUR_2024 used as proxy (EUR_2025 not registered in cet-units)
DEA-TIPIH-2026,"Sheet 5.1b (Electric boiler, 10 kV, steam, 1-12 bar), Row 19 (Nominal investment)",electrode-boiler,*,5-60 MW,2035,CAPEX,Output Capacity|Heat,0.1,,MEUR_2024,1,MW,Medium-voltage (10 kV) steam boiler; Source reports EUR 2025; EUR_2024 used as proxy (EUR_2025 not registered in cet-units)
DEA-TIPIH-2026,"Sheet 5.1b (Electric boiler, 10 kV, steam, 1-12 bar), Row 19 (Nominal investment)",electrode-boiler,*,5-60 MW,2040,CAPEX,Output Capacity|Heat,0.1,,MEUR_2024,1,MW,Medium-voltage (10 kV) steam boiler; Source reports EUR 2025; EUR_2024 used as proxy (EUR_2025 not registered in cet-units)
DEA-TIPIH-2026,"Sheet 5.1b (Electric boiler, 10 kV, steam, 1-12 bar), Row 19 (Nominal investment)",electrode-boiler,*,5-60 MW,2050,CAPEX,Output Capacity|Heat,0.1,,MEUR_2024,1,MW,Medium-voltage (10 kV) steam boiler; Source reports EUR 2025; EUR_2024 used as proxy (EUR_2025 not registered in cet-units)
DEA-TIPIH-2026,"Sheet 5.1b (Electric boiler, 10 kV, steam, 1-12 bar), Row 22 (Fixed O&M costs)",electrode-boiler,*,5-60 MW,2025,OPEX Fixed,Output Capacity|Heat,1298,,EUR_2024/a,1,MW,Source reports EUR 2025; EUR_2024 used as proxy (EUR_2025 not registered in cet-units)
DEA-TIPIH-2026,"Sheet 5.1b (Electric boiler, 10 kV, steam, 1-12 bar), Row 22 (Fixed O&M costs)",electrode-boiler,*,5-60 MW,2030,OPEX Fixed,Output Capacity|Heat,1237,,EUR_2024/a,1,MW,Source reports EUR 2025; EUR_2024 used as proxy (EUR_2025 not registered in cet-units)
DEA-TIPIH-2026,"Sheet 5.1b (Electric boiler, 10 kV, steam, 1-12 bar), Row 22 (Fixed O&M costs)",electrode-boiler,*,5-60 MW,2035,OPEX Fixed,Output Capacity|Heat,1208,,EUR_2024/a,1,MW,Source reports EUR 2025; EUR_2024 used as proxy (EUR_2025 not registered in cet-units)
DEA-TIPIH-2026,"Sheet 5.1b (Electric boiler, 10 kV, steam, 1-12 bar), Row 22 (Fixed O&M costs)",electrode-boiler,*,5-60 MW,2040,OPEX Fixed,Output Capacity|Heat,1177,,EUR_2024/a,1,MW,Source reports EUR 2025; EUR_2024 used as proxy (EUR_2025 not registered in cet-units)
DEA-TIPIH-2026,"Sheet 5.1b (Electric boiler, 10 kV, steam, 1-12 bar), Row 22 (Fixed O&M costs)",electrode-boiler,*,5-60 MW,2050,OPEX Fixed,Output Capacity|Heat,1116,,EUR_2024/a,1,MW,Source reports EUR 2025; EUR_2024 used as proxy (EUR_2025 not registered in cet-units)
DEA-TIPIH-2026,"Sheet 5.1b (Electric boiler, 10 kV, steam, 1-12 bar), Row 23 (Variable O&M costs)",electrode-boiler,*,5-60 MW,2025,OPEX Variable,Output|Heat,0.61,,EUR_2024,1,MWh,Source reports EUR 2025; EUR_2024 used as proxy (EUR_2025 not registered in cet-units)
DEA-TIPIH-2026,"Sheet 5.1b (Electric boiler, 10 kV, steam, 1-12 bar), Row 23 (Variable O&M costs)",electrode-boiler,*,5-60 MW,2030,OPEX Variable,Output|Heat,0.58,,EUR_2024,1,MWh,Source reports EUR 2025; EUR_2024 used as proxy (EUR_2025 not registered in cet-units)
DEA-TIPIH-2026,"Sheet 5.1b (Electric boiler, 10 kV, steam, 1-12 bar), Row 23 (Variable O&M costs)",electrode-boiler,*,5-60 MW,2035,OPEX Variable,Output|Heat,0.56,,EUR_2024,1,MWh,Source reports EUR 2025; EUR_2024 used as proxy (EUR_2025 not registered in cet-units)
DEA-TIPIH-2026,"Sheet 5.1b (Electric boiler, 10 kV, steam, 1-12 bar), Row 23 (Variable O&M costs)",electrode-boiler,*,5-60 MW,2040,OPEX Variable,Output|Heat,0.55,,EUR_2024,1,MWh,Source reports EUR 2025; EUR_2024 used as proxy (EUR_2025 not registered in cet-units)
DEA-TIPIH-2026,"Sheet 5.1b (Electric boiler, 10 kV, steam, 1-12 bar), Row 23 (Variable O&M costs)",electrode-boiler,*,5-60 MW,2050,OPEX Variable,Output|Heat,0.52,,EUR_2024,1,MWh,Source reports EUR 2025; EUR_2024 used as proxy (EUR_2025 not registered in cet-units)
DEA-TIPIH-2026,"Sheet 5.1b (Electric boiler, 10 kV, steam, 1-12 bar), Row 12 (Technical lifetime)",electrode-boiler,*,5-60 MW,2025,Lifetime,,25,,a,,,
DEA-TIPIH-2026,"Sheet 1.1 (Traditional heat pump, up to 60°C, temp lift 40 K), Row 7 (COP at nominal load)",heat-pump-60c,*,0.5-5 MW,2025,Output|Heat,Input|Electricity,5.33,,kWh,1,kWh,COP at 40 K temperature lift; heat sink up to 60°C
DEA-TIPIH-2026,"Sheet 1.1 (Traditional heat pump, up to 60°C, temp lift 40 K), Row 7 (COP at nominal load)",heat-pump-60c,*,0.5-5 MW,2030,Output|Heat,Input|Electricity,5.49,,kWh,1,kWh,COP at 40 K temperature lift; heat sink up to 60°C
DEA-TIPIH-2026,"Sheet 1.1 (Traditional heat pump, up to 60°C, temp lift 40 K), Row 7 (COP at nominal load)",heat-pump-60c,*,0.5-5 MW,2035,Output|Heat,Input|Electricity,5.55,,kWh,1,kWh,COP at 40 K temperature lift; heat sink up to 60°C
DEA-TIPIH-2026,"Sheet 1.1 (Traditional heat pump, up to 60°C, temp lift 40 K), Row 7 (COP at nominal load)",heat-pump-60c,*,0.5-5 MW,2040,Output|Heat,Input|Electricity,5.60,,kWh,1,kWh,COP at 40 K temperature lift; heat sink up to 60°C
