variable,reference_variable,period,value,uncertainty,unit,reference_value,reference_unit,comment,source,source_detail
CAPEX,Output Capacity|Methanol,2017,400.0,,EUR_2015,1,metric_ton/a,"Depreciated over 10 years with an interest rate of 10%. Units given as EUR/t, but should be EUR/t/a",Bazzanella-2017,Table 35
OPEX Fixed Specific,Output|Methanol,2017,60.0,,EUR_2015,1,metric_ton,,Bazzanella-2017,Table 35
Input|Electricity,Output|Methanol,2017,0.6,,GJ,1,metric_ton,,Bazzanella-2017,Section 4.4.1
Input|Fossil Gas,Output|Methanol,2017,12.5,,GJ,1,metric_ton,,Bazzanella-2017,Section 4.4.1
