source,source_detail,subtech,size,period,variable,reference_variable,value,uncertainty,unit,reference_value,reference_unit,comment
DEA-TDRF-2023,"Sheet 86 PEMEC 1MW, Row 17",PEM,"1 MW, 100 MW",2050,Output|Hydrogen,Input|Electricity,21.2,0.4,kg_H2,1,MWh,
DEA-TDRF-2023,"Sheet 86 SOEC 1MW, Row 16",SOEC,1 MW,2020,Output|Hydrogen,Input|Electricity,23.3,1,kg_H2,1,MWh,
DEA-TDRF-2023,"Sheet 86 SOEC 1MW, Row 16",SOEC,1 MW,2030,Output|Hydrogen,Input|Electricity,24.2,,kg_H2,1,MWh,
DEA-TDRF-2023,"Sheet 86 SOEC 1MW, Row 16",SOEC,1 MW,2040,Output|Hydrogen,Input|Electricity,24.6,,kg_H2,1,MWh,
DEA-TDRF-2023,"Sheet 86 SOEC 1MW, Row 16",SOEC,1 MW,2050,Output|Hydrogen,Input|Electricity,25.1,0.5,kg_H2,1,MWh,
DEA-TDRF-2023,,"AEL, PEM",1 MW,*,Total Input Capacity|Electricity,,1,,MW,,,
DEA-TDRF-2023,,SOEC,1 MW,*,Total Input Capacity|Electricity,,1,,MW,,,
DEA-TDRF-2023,,"AEL, PEM",5 MW,*,Total Input Capacity|Electricity,,5,,MW,,,
Holst-2021,"Appendix A, Page 79",AEL,100 MW,2020,CAPEX,Input Capacity|Electricity,663,,EUR_2020,1,kW,
Holst-2021,"Appendix A, Page 79",AEL,100 MW,2030,CAPEX,Input Capacity|Electricity,444,,EUR_2020,1,kW,
Holst-2021,"Appendix A, Page 79",AEL,5 MW,2020,CAPEX,Input Capacity|Electricity,949,,EUR_2020,1,kW,
Holst-2021,"Appendix A, Page 79",AEL,5 MW,2030,CAPEX,Input Capacity|Electricity,726,,EUR_2020,1,kW,
Holst-2021,"Appendix A, Page 79",PEM,100 MW,2020,CAPEX,Input Capacity|Electricity,718,,EUR_2020,1,kW,
Holst-2021,"Appendix A, Page 79",PEM,100 MW,2030,CAPEX,Input Capacity|Electricity,502,,EUR_2020,1,kW,
Holst-2021,"Appendix A, Page 79",PEM,5 MW,2020,CAPEX,Input Capacity|Electricity,978,,EUR_2020,1,kW,
Holst-2021,"Appendix A, Page 79",PEM,5 MW,2030,CAPEX,Input Capacity|Electricity,729,,EUR_2020,1,kW,
Holst-2021,"Section 3.4, Page 57",AEL,"100 MW, 5 MW",2020,OPEX Fixed,Input Capacity|Electricity,20,5,EUR_2020/year,1,kW,Electrolyser annual maintenance costs.
Holst-2021,"Section 3.4, Page 57",PEM,"100 MW, 5 MW",2020,OPEX Fixed,Input Capacity|Electricity,15,5,EUR_2020/year,1,kW,Electrolyser annual maintenance costs.
