source,source_detail,period,variable,reference_variable,value,uncertainty,unit,reference_value,reference_unit,comment
IEA-GHG-2013,Tables 1 and 5,2013,CAPEX,Output Capacity|Steel Hot-rolled Coil,450,,MUSD_2010,4,Mt/a,
IEA-GHG-2013,Table D-15,2013,Input|Electricity,Output|Steel Hot-rolled Coil,105.3,,kWh,1,t,
IEA-GHG-2013,Table D-15,2013,Input|Heat,Output|Steel Hot-rolled Coil,468.33,,kWh,1,t,Assuming 20MJ/Nm³ for caloric heating value of COG.
Worrell-2007,Table 2.1.5,2007,Input|Electricity,Output|Steel Hot-rolled Coil,0.3,,GJ,1,t,
Worrell-2007,Table 2.1.5,2007,Input|Heat,Output|Steel Hot-rolled Coil,1.3,,GJ,1,t,
IEA-GHG-2013,Table D-15,2013,Input|Steel Slab,Output|Steel Hot-rolled Coil,1052.6,,kg,1,t,
